Clave;Tipo;ID tablero;Resumen;Fuente del requisito;Prioridad MoSCoW;Estado de verificacion;Epic / Padre;Clave padre;Persona asignada;Estado Jira
SCRUM-6;Epic;EPIC-01;EPIC-01 Gestión de mascotas y perfiles;;;;;;;Tareas por hacer
SCRUM-7;Epic;EPIC-02;EPIC-02 Adopción y seguimiento;;;;;;;Tareas por hacer
SCRUM-8;Epic;EPIC-03;EPIC-03 Cruza y compatibilidad;;;;;;;Tareas por hacer
SCRUM-9;Epic;EPIC-04;EPIC-04 Usuarios, comunicación y seguridad;;;;;;;Tareas por hacer
SCRUM-10;Epic;EPIC-05;EPIC-05 Salud, validación y trazabilidad veterinaria;;;;;;;Tareas por hacer
SCRUM-11;Historia;ST-01;ST-01 RF-01 - Registrar mascota;RF-01;Must;Verificado;EPIC-01 Gestión de mascotas y perfiles;SCRUM-6;EDSON DANIEL FUERTES ARRAES;Tareas por hacer
SCRUM-12;Historia;ST-02;ST-02 RF-02 - Gestionar historial médico de la mascota;RF-02;Must;Verificado;EPIC-01 Gestión de mascotas y perfiles;SCRUM-6;EDSON DANIEL FUERTES ARRAES;Tareas por hacer
SCRUM-13;Historia;ST-03;ST-03 RF-03 - Consultar perfil completo de una mascota;RF-03;Must;Verificado;EPIC-01 Gestión de mascotas y perfiles;SCRUM-6;EDSON DANIEL FUERTES ARRAES;Tareas por hacer
SCRUM-14;Historia;ST-04;ST-04 RF-13 - Registrar publicaciones de mascotas;RF-13;Must;En revisión;EPIC-01 Gestión de mascotas y perfiles;SCRUM-6;Jonathanvg2407;Tareas por hacer
SCRUM-15;Historia;ST-05;ST-05 RF-14 - Gestionar carnet de vacunación;RF-14;Must;Verificado;EPIC-01 Gestión de mascotas y perfiles;SCRUM-6;Jonathanvg2407;Tareas por hacer
SCRUM-16;Historia;ST-06;ST-06 RF-16 - Gestionar antecedentes genéticos y parentesco;RF-16;Must;En revisión;EPIC-01 Gestión de mascotas y perfiles;SCRUM-6;Jonathanvg2407;Tareas por hacer
SCRUM-17;Historia;ST-07;ST-07 RF-21 - Registrar el identificador de microchip;RF-21;Should;Pendiente;EPIC-01 Gestión de mascotas y perfiles;SCRUM-6;Jonathanvg2407;Tareas por hacer
SCRUM-18;Historia;ST-08;ST-08 RF-04 - Buscar y filtrar mascotas;RF-04;Should;Observado;EPIC-02 Adopción y seguimiento;SCRUM-7;EDSON DANIEL FUERTES ARRAES;Tareas por hacer
SCRUM-19;Historia;ST-09;ST-09 RF-05 - Gestionar solicitudes de adopción;RF-05;Must;Verificado;EPIC-02 Adopción y seguimiento;SCRUM-7;EDSON DANIEL FUERTES ARRAES;Tareas por hacer
SCRUM-20;Historia;ST-10;ST-10 RF-18 - Gestionar el flujo de solicitud de adopción por etapas;RF-18;Must;En revisión;EPIC-02 Adopción y seguimiento;SCRUM-7;EDSON DANIEL FUERTES ARRAES;Tareas por hacer
SCRUM-21;Historia;ST-11;ST-11 RF-22 - Dar seguimiento post-adopción;RF-22;Must;Pendiente;EPIC-02 Adopción y seguimiento;SCRUM-7;EDSON DANIEL FUERTES ARRAES;Tareas por hacer
